angle0, angle1, x, y, theta
12.0000000,76.0000000,560.6631854,1005.7989556,0.5584671
104.0000000,44.0000000,534.5863874,1091.6753927,0.4297387
62.0000000,116.0000000,472.8695652,1184.0668896,0.9328420
108.0000000,157.0000000,314.8720000,1300.9573333,1.3535192
64.0000000,74.0000000,528.8693009,1111.1945289,0.6460611
88.0000000,145.0000000,382.7871720,1262.9504373,1.2094669
169.0000000,177.0000000,161.6218182,1345.8181818,-1.5074533
87.0000000,65.0000000,522.0548303,1124.7284595,0.5931408
79.0000000,79.0000000,514.7989276,1134.8257373,0.6629660
138.0000000,128.0000000,349.1178248,1298.3655589,1.1334734
165.0000000,107.0000000,335.9630390,1317.6242300,1.0455360
96.0000000,1.0000000,565.8771499,987.2850123,0.0805020
94.0000000,114.0000000,450.1784990,1221.1967546,0.9667074
6.0000000,35.0000000,593.7850467,856.5560748,0.1887079
44.0000000,125.0000000,483.1471471,1147.2312312,0.9749782
26.0000000,163.0000000,409.4558405,1195.3618234,1.3024973
146.0000000,9.0000000,506.5870647,1124.5199005,0.3054140
128.0000000,86.0000000,447.4939467,1231.2760291,0.8069805
18.0000000,9.0000000,572.6923077,938.2785146,0.1185462
26.0000000,53.0000000,573.2972973,968.0024570,0.3874561
120.0000000,9.0000000,548.3764988,1049.1031175,0.2045722
142.0000000,141.0000000,316.4273743,1308.2430168,1.2599325
36.0000000,181.0000000,328.8203593,1248.1197605,1.5235262
106.0000000,28.0000000,540.8426150,1074.5496368,0.3298984
163.0000000,88.0000000,376.6923077,1298.4000000,0.8885588
107.0000000,164.0000000,291.9269006,1303.1111111,1.4149188
112.0000000,141.0000000,344.7079890,1287.4738292,1.2621477
12.0000000,48.0000000,582.9033019,912.4316038,0.3250403
158.0000000,78.0000000,424.3102725,1274.1844864,0.7986247
44.0000000,26.0000000,585.9420601,950.7725322,0.1697875
164.0000000,162.0000000,204.0558252,1349.0461165,1.4700884
12.0000000,47.0000000,570.4606987,996.8930131,0.4087048
27.0000000,36.0000000,583.7206573,922.3732394,0.2654917
76.0000000,148.0000000,393.4740260,1243.8084416,1.2192055
172.0000000,45.0000000,425.3470588,1252.7058824,0.6467251
39.0000000,89.0000000,530.1386431,1096.2625369,0.7255520
153.0000000,170.0000000,211.5661017,1338.5050847,1.5526396
48.0000000,126.0000000,459.6896552,1190.4712644,1.0457151
3.0000000,18.0000000,583.3680982,926.7546012,0.3844508
33.0000000,12.0000000,596.6470588,859.5574230,0.0254284
85.0000000,94.0000000,488.1975309,1173.6234568,0.8010270
40.0000000,77.0000000,542.3351801,1068.5817175,0.6157097
176.0000000,63.0000000,391.5535714,1281.9166667,0.7688829
38.0000000,89.0000000,530.2477341,1098.4833837,0.7217872
3.0000000,166.0000000,417.3372434,1180.7360704,1.3106558
75.0000000,44.0000000,546.0302419,1048.4254032,0.4155305
124.0000000,61.0000000,504.6432292,1174.6432292,0.6208863
122.0000000,181.0000000,245.0000000,1310.5000000,-1.5704399
78.0000000,4.0000000,564.8597701,1019.4873563,0.2540746
33.0000000,19.0000000,590.5704057,888.1622912,0.0627676
120.0000000,34.0000000,525.6822917,1098.7239583,0.3871160
130.0000000,174.0000000,253.0089552,1312.0865672,1.5229290
90.0000000,112.0000000,444.8517699,1227.8606195,0.9481590
57.0000000,22.0000000,580.8880407,953.6539440,0.1660544
25.0000000,115.0000000,515.3988095,1105.2916667,0.8584003
84.0000000,85.0000000,502.0322581,1147.4633431,0.7499574
39.0000000,168.0000000,376.4794118,1229.3058824,1.3744647
126.0000000,1.0000000,538.1995192,1062.5288462,0.1827623
2.0000000,62.0000000,575.5889423,950.7283654,0.4351870
102.0000000,1.0000000,564.7350000,990.6500000,0.0925667
108.0000000,95.0000000,465.6590909,1207.1363636,0.8503238
94.0000000,16.0000000,558.2444444,1024.5234568,0.2107502
153.0000000,32.0000000,477.7677054,1176.6543909,0.4835374
20.0000000,31.0000000,578.0775681,982.5136268,0.2475307
59.0000000,161.0000000,385.9801700,1232.6317280,1.3217123
17.0000000,40.0000000,570.7009346,981.6471963,0.4767296
150.0000000,31.0000000,487.8288770,1165.8181818,0.4587839
45.0000000,162.0000000,383.0222841,1234.4818942,1.3212684
139.0000000,158.0000000,276.2985075,1322.6805970,1.4340051
38.0000000,117.0000000,493.3366667,1148.9133333,0.9192503
117.0000000,132.0000000,382.6396104,1272.5974026,1.1446704
25.0000000,3.0000000,551.6481481,974.9398148,0.4174070
64.0000000,60.0000000,554.9665810,1045.8740360,0.4832041
162.0000000,138.0000000,280.5697329,1337.1364985,1.2494865
65.0000000,26.0000000,578.8312958,970.4205379,0.2018378
112.0000000,114.0000000,429.8983051,1239.6920904,0.9669715
16.0000000,35.0000000,590.2688679,884.5518868,0.1885514
113.0000000,152.0000000,329.9879880,1302.2312312,1.3100537
152.0000000,8.0000000,500.5283951,1147.9506173,0.3337227
106.0000000,53.0000000,522.1024096,1133.6867470,0.5114257
38.0000000,121.0000000,484.7810458,1157.5163399,0.9500434
86.0000000,147.0000000,375.1942675,1258.3121019,1.2590421
127.0000000,93.0000000,437.9009709,1243.6427184,0.8859337
78.0000000,175.0000000,305.9723757,1281.2458564,1.4844169
60.0000000,50.0000000,547.9533469,1053.0486815,0.4579487
9.0000000,140.0000000,482.4113924,1133.5094937,1.0510531
123.0000000,156.0000000,311.6083333,1301.1861111,1.3524351
110.0000000,22.0000000,534.8030303,1079.0984848,0.2979759
164.0000000,72.0000000,403.3323171,1274.7743902,0.7744620
115.0000000,24.0000000,535.4000000,1073.3382716,0.3048251
118.0000000,172.0000000,279.9411765,1306.0529412,1.4864697
41.0000000,38.0000000,550.1284635,1055.3073048,0.6198739
105.0000000,156.0000000,334.1396011,1287.1367521,1.3248229
96.0000000,54.0000000,520.2291105,1122.1563342,0.5312223
72.0000000,133.0000000,435.3800623,1222.4330218,1.0669293
8.0000000,161.0000000,420.0531250,1193.3437500,1.2811010
95.0000000,12.0000000,562.9801980,1008.3787129,0.1606884
43.0000000,125.0000000,478.9652778,1166.4861111,0.9775232
31.0000000,79.0000000,544.4738292,1058.4297521,0.6456146
109.0000000,42.0000000,532.2405405,1097.8351351,0.4254996
33.0000000,92.0000000,531.5271084,1087.2048193,0.7171416
113.0000000,27.0000000,542.5503686,1067.4398034,0.3084063
121.0000000,69.0000000,489.7155172,1176.6005747,0.6506565
50.0000000,153.0000000,405.1432749,1230.3713450,1.2323449
161.0000000,170.0000000,204.0730994,1341.3128655,1.5459064
31.0000000,131.0000000,469.0963542,1164.7421875,1.1059162
98.0000000,20.0000000,562.3010204,1031.5255102,0.2194636
163.0000000,177.0000000,182.0000000,1343.0000000,-1.5634532
178.0000000,52.0000000,377.0415335,1284.3003195,0.7516790
137.0000000,137.0000000,325.9131737,1308.8952096,1.2139982
83.0000000,98.0000000,473.9456193,1192.4018127,0.8717041
43.0000000,5.0000000,596.5000000,878.0000000,0.0105637
149.0000000,95.0000000,396.3095238,1276.7275132,0.9161002
154.0000000,42.0000000,462.1030303,1208.1454545,0.5700311
20.0000000,40.0000000,569.3956443,1001.2522686,0.3330244
124.0000000,131.0000000,360.0721311,1291.8032787,1.1567135
